,Mat,NO,Total Runs,HS,Ave,Total Balls,Career SR,100,50,0,Opposition,match_id,player_id,Match Runs,Match SR,Ground
67,68,9,1743,84,31.12,2345,74.32,0,13,3,v Sri Lanka,ODI # 883,35320,52,82.53,Jalandhar
68,69,9,1758,84,30.84,2364,74.36,0,13,3,v New Zealand,ODI # 896,35320,15,78.94,Napier
69,70,9,1840,84,31.72,2413,76.25,0,14,3,v New Zealand,ODI # 897,35320,82,167.34,Auckland
70,71,9,1903,84,32.25,2488,76.48,0,15,3,v New Zealand,ODI # 898,35320,63,84.00,Wellington
71,72,9,1943,84,32.38,2514,77.28,0,15,3,v New Zealand,ODI # 899,35320,40,153.84,Christchurch
72,73,9,2006,84,32.88,2591,77.42,0,16,3,v U.A.E.,ODI # 904,35320,63,81.81,Sharjah
73,74,9,2079,84,33.53,2655,78.30,0,17,3,v Pakistan,ODI # 906,35320,73,114.06,Sharjah
74,75,9,2085,84,33.09,2662,78.32,0,17,3,v Australia,ODI # 910,35320,6,85.71,Sharjah
75,76,9,2109,84,32.95,2688,78.45,0,17,3,v Pakistan,ODI # 912,35320,24,92.30,Sharjah
76,77,10,2120,84,33.12,2704,78.40,0,17,3,v Sri Lanka,ODI # 921,35320,11*,68.75,Colombo (RPS)
77,78,10,2126,84,32.70,2709,78.47,0,17,3,v Sri Lanka,ODI # 922,35320,6,120.00,Colombo (RPS)
78,79,10,2236,110,33.87,2839,78.76,1,17,3,v Australia,ODI # 924,35320,110,84.61,Colombo (RPS)
79,80,10,2236,110,33.37,2841,78.70,1,17,4,v Sri Lanka,ODI # 927,35320,0,0.00,Colombo (SSC)
80,81,10,2236,110,32.88,2845,78.59,1,17,5,v West Indies,ODI # 931,35320,0,0.00,Faridabad
81,82,10,2236,110,32.40,2849,78.48,1,17,6,v West Indies,ODI # 933,35320,0,0.00,Mumbai
82,83,10,2244,110,32.05,2873,78.10,1,17,6,v West Indies,ODI # 936,35320,8,33.33,Chennai
83,84,10,2359,115,33.22,3009,78.39,2,17,6,v New Zealand,ODI # 939,35320,115,84.55,Vadodara
84,85,10,2393,115,33.23,3056,78.30,2,17,6,v West Indies,ODI # 941,35320,34,72.34,Kanpur
85,86,10,2455,115,33.63,3110,78.93,2,18,6,v New Zealand,ODI # 944,35320,62,114.81,Delhi
86,87,10,2521,115,34.06,3178,79.32,2,19,6,v West Indies,ODI # 947,35320,66,97.05,Kolkata
87,88,10,2575,115,34.33,3242,79.42,2,20,6,v West Indies,ODI # 949,35320,54,84.37,Visakhapatnam
88,89,10,2663,115,35.03,3354,79.39,2,21,6,v West Indies,ODI # 950,35320,88,78.57,Cuttack
89,90,10,2768,115,35.94,3488,79.35,3,21,6,v West Indies,ODI # 951,35320,105,78.35,Jaipur
90,91,10,2781,115,35.65,3503,79.38,3,21,6,v New Zealand,ODI # 976,35320,13,86.66,Napier
91,92,10,2818,115,35.67,3554,79.29,3,21,6,v South Africa,ODI # 977,35320,37,72.54,Hamilton
92,93,10,2865,115,35.81,3594,79.71,3,21,6,v Australia,ODI # 979,35320,47,117.50,Dunedin
93,94,10,2913,115,35.96,3624,80.38,3,21,6,v Bangladesh,ODI # 993,35320,48,160.00,Sharjah
94,95,10,2917,115,35.57,3633,80.29,3,21,6,v Pakistan,ODI # 995,35320,4,44.44,Sharjah
95,96,11,3029,115,36.93,3740,80.98,4,21,6,v Sri Lanka,ODI # 997,35320,112*,104.67,Sharjah
96,97,11,3070,115,36.98,3781,81.19,4,21,6,v Sri Lanka,ODI # 999,35320,41,100.00,Sharjah
97,98,11,3100,115,36.90,3801,81.55,4,21,6,v New Zealand,ODI # 1015,35320,30,150.00,Jamshedpur
98,99,11,3139,115,36.92,3852,81.49,4,21,6,v New Zealand,ODI # 1016,35320,39,76.47,Amritsar
99,100,11,3146,115,36.58,3863,81.43,4,21,6,v New Zealand,ODI # 1017,35320,7,63.63,Pune
100,101,11,3211,115,36.90,3922,81.87,4,22,6,v New Zealand,ODI # 1018,35320,65,110.16,Nagpur
101,102,11,3212,115,36.50,3926,81.81,4,22,6,v New Zealand,ODI # 1019,35320,1,25.00,Mumbai (BS)
102,103,12,3339,127*,37.94,4064,82.16,5,22,6,v Kenya,ODI # 1052,35320,127*,92.02,Cuttack
103,104,12,3409,127*,38.30,4155,82.04,5,23,6,v West Indies,ODI # 1056,35320,70,76.92,Gwalior
104,105,12,3499,127*,38.87,4239,82.54,5,24,6,v Australia,ODI # 1065,35320,90,107.14,Mumbai
105,106,12,3636,137,39.95,4376,83.08,6,24,6,v Sri Lanka,ODI # 1070,35320,137,100.00,Delhi
106,107,12,3639,137,39.55,4388,82.93,6,24,6,v Zimbabwe,ODI # 1075,35320,3,25.00,Kanpur
107,108,12,3670,137,39.46,4447,82.52,6,24,6,v Pakistan,ODI # 1078,35320,31,52.54,Bengaluru
108,109,12,3735,137,39.73,4535,82.35,6,25,6,v Sri Lanka,ODI # 1081,35320,65,73.86,Kolkata
109,110,12,3763,137,39.61,4566,82.41,6,25,6,v Sri Lanka,ODI # 1089,35320,28,90.32,Singapore
110,111,12,3863,137,40.23,4677,82.59,7,25,6,v Pakistan,ODI # 1091,35320,100,90.09,Singapore
111,112,12,3864,137,39.83,4682,82.52,7,25,6,v Pakistan,ODI # 1094,35320,1,20.00,Sharjah
112,113,12,3866,137,39.44,4697,82.30,7,25,6,v South Africa,ODI # 1097,35320,2,13.33,Sharjah
113,114,12,3984,137,40.24,4837,82.36,8,25,6,v Pakistan,ODI # 1098,35320,118,84.28,Sharjah
114,115,12,4001,137,40.01,4863,82.27,8,25,6,v South Africa,ODI # 1100,35320,17,65.38,Sharjah
115,116,12,4058,137,40.17,4934,82.24,8,26,6,v South Africa,ODI # 1101,35320,57,80.28,Sharjah
116,117,12,4088,137,40.07,4953,82.53,8,26,6,v England,ODI # 1102,35320,30,157.89,The Oval
117,118,12,4094,137,39.74,4972,82.34,8,26,6,v England,ODI # 1103,35320,6,31.57,Leeds
118,119,12,4095,137,39.37,4983,82.17,8,26,6,v England,ODI # 1104,35320,1,9.09,Manchester
119,120,12,4205,137,40.04,5121,82.11,9,26,6,v Sri Lanka,ODI # 1106,35320,110,79.71,Colombo (RPS)
120,121,12,4245,137,40.04,5167,82.15,9,26,6,v Zimbabwe,ODI # 1110,35320,40,86.95,Colombo (SSC)
121,122,12,4252,137,39.73,5178,82.11,9,26,6,v Australia,ODI # 1113,35320,7,63.63,Colombo (SSC)
122,123,13,4341,137,40.57,5267,82.41,9,27,6,v Pakistan,ODI # 1115,35320,89*,100.00,Toronto
123,124,13,4361,137,40.37,5290,82.43,9,27,6,v Pakistan,ODI # 1116,35320,20,86.95,Toronto
124,125,13,4363,137,40.02,5303,82.27,9,27,6,v Pakistan,ODI # 1117,35320,2,15.38,Toronto
125,126,13,4366,137,39.69,5312,82.19,9,27,6,v Pakistan,ODI # 1118,35320,3,33.33,Toronto
126,127,13,4389,137,39.54,5356,81.94,9,27,6,v Pakistan,ODI # 1119,35320,23,52.27,Toronto
127,128,13,4400,137,39.28,5364,82.02,9,27,6,v South Africa,ODI # 1127,35320,11,137.50,Hyderabad (Deccan)
128,129,13,4488,137,39.71,5475,81.97,9,28,6,v Australia,ODI # 1129,35320,88,79.27,Bengaluru
129,130,13,4552,137,39.92,5568,81.75,9,29,6,v South Africa,ODI # 1130,35320,64,68.81,Jaipur
130,131,13,4580,137,39.82,5606,81.69,9,29,6,v South Africa,ODI # 1132,35320,28,73.68,Rajkot
131,132,13,4642,137,40.01,5667,81.91,9,30,6,v Australia,ODI # 1137,35320,62,101.63,Mohali
132,133,13,4709,137,40.24,5755,81.82,9,31,6,v South Africa,ODI # 1138,35320,67,76.13,Mumbai
133,134,13,4823,137,40.87,5881,82.00,10,31,6,v South Africa,ODI # 1151,35320,114,90.47,Mumbai
134,135,13,4823,137,40.52,5885,81.95,10,31,7,v South Africa,ODI # 1167,35320,0,0.00,Bloemfontein
135,136,13,4829,137,40.24,5893,81.94,10,31,7,v Zimbabwe,ODI # 1169,35320,6,75.00,Paarl
136,137,13,4830,137,39.91,5907,81.76,10,31,7,v South Africa,ODI # 1172,35320,1,7.14,Port Elizabeth
137,138,13,4844,137,39.70,5931,81.67,10,31,7,v South Africa,ODI # 1173,35320,14,58.33,East London
138,139,13,4885,137,39.71,5987,81.59,10,31,7,v Zimbabwe,ODI # 1174,35320,41,73.21,Centurion
139,140,13,4989,137,40.23,6084,82.00,11,31,7,v Zimbabwe,ODI # 1175,35320,104,107.21,Benoni
140,141,13,5021,137,40.16,6111,82.16,11,31,7,v South Africa,ODI # 1176,35320,32,118.51,Durban
141,142,13,5066,137,40.20,6144,82.45,11,31,7,v South Africa,ODI # 1177,35320,45,136.36,Durban
142,143,13,5079,137,39.99,6159,82.46,11,31,7,v Zimbabwe,ODI # 1178,35320,13,86.66,Bulawayo
143,144,13,5123,137,40.02,6202,82.60,11,31,7,v West Indies,ODI # 1200,35320,44,102.32,Port of Spain
144,145,14,5188,137,40.53,6272,82.71,11,32,7,v West Indies,ODI # 1201,35320,65*,92.85,Port of Spain
145,146,14,5197,137,40.28,6287,82.66,11,32,7,v West Indies,ODI # 1202,35320,9,60.00,Kingstown
146,147,14,5198,137,39.98,6298,82.53,11,32,7,v West Indies,ODI # 1203,35320,1,9.09,Bridgetown
147,148,14,5315,137,40.57,6435,82.59,12,32,7,v New Zealand,ODI # 1206,35320,117,85.40,Bengaluru
148,149,14,5317,137,40.28,6439,82.57,12,32,7,v Sri Lanka,ODI # 1207,35320,2,50.00,Mumbai
149,150,14,5321,137,40.00,6446,82.54,12,32,7,v Pakistan,ODI # 1209,35320,4,57.14,Chennai
150,151,14,5342,137,39.86,6474,82.51,12,32,7,v Sri Lanka,ODI # 1218,35320,21,75.00,Colombo (RPS)
151,152,14,5342,137,39.86,6474,82.51,12,32,7,v Pakistan,ODI # 1219,35320,TDNB,-,Colombo (SSC)
152,153,14,5370,137,39.77,6495,82.67,12,32,7,v Bangladesh,ODI # 1221,35320,28,133.33,Colombo (SSC)
153,154,14,5423,137,39.87,6562,82.64,12,33,7,v Sri Lanka,ODI # 1222,35320,53,79.10,Colombo (RPS)
154,155,14,5450,137,39.78,6590,82.70,12,33,7,v Sri Lanka,ODI # 1223,35320,27,96.42,Colombo (RPS)
155,156,14,5456,137,39.53,6596,82.71,12,33,7,v Sri Lanka,ODI # 1224,35320,6,100.00,Colombo (RPS)
156,157,14,5483,137,39.44,6627,82.73,12,33,7,v Sri Lanka,ODI # 1225,35320,27,87.09,Colombo (SSC)
157,158,14,5522,137,39.44,6659,82.92,12,33,7,v Sri Lanka,ODI # 1226,35320,39,121.87,Colombo (SSC)
158,159,14,5539,137,39.28,6713,82.51,12,33,7,v Pakistan,ODI # 1227,35320,17,31.48,Toronto
159,160,15,5564,137,39.46,6758,82.33,12,33,7,v Pakistan,ODI # 1228,35320,25*,55.55,Toronto
160,161,15,5564,137,39.46,6758,82.33,12,33,7,v Pakistan,ODI # 1229,35320,TDNB,-,Toronto
161,162,15,5564,137,39.18,6768,82.21,12,33,8,v Pakistan,ODI # 1230,35320,0,0.00,Toronto
162,163,15,5570,137,38.95,6775,82.21,12,33,8,v Pakistan,ODI # 1231,35320,6,85.71,Toronto
163,164,15,5621,137,39.03,6839,82.19,12,34,8,v Pakistan,ODI # 1232,35320,51,79.68,Toronto
164,165,15,5623,137,38.77,6850,82.08,12,34,8,v Pakistan,ODI # 1233,35320,2,18.18,Hyderabad (Sind)
165,166,15,5644,137,38.65,6868,82.17,12,34,8,v Pakistan,ODI # 1234,35320,21,116.66,Karachi
166,167,15,5651,137,38.44,6879,82.14,12,34,8,v Pakistan,ODI # 1236,35320,7,63.63,Lahore
167,168,15,5742,137,38.79,6966,82.42,12,35,8,v England,ODI # 1259,35320,91,104.59,Sharjah
168,169,15,5745,137,38.55,6970,82.42,12,35,8,v Pakistan,ODI # 1262,35320,3,75.00,Sharjah
169,170,15,5746,137,38.30,6972,82.41,12,35,8,v West Indies,ODI # 1264,35320,1,50.00,Sharjah
170,171,16,5828,137,38.85,7058,82.57,12,36,8,v Sri Lanka,ODI # 1267,35320,82*,95.34,Guwahati
171,172,16,5828,137,38.85,7058,82.57,12,36,8,v Sri Lanka,ODI # 1268,35320,TDNB,-,Indore
172,173,16,5834,137,38.63,7071,82.50,12,36,8,v Sri Lanka,ODI # 1269,35320,6,46.15,Margao
173,174,16,5888,137,38.73,7147,82.38,12,37,8,v Bangladesh,ODI # 1271,35320,54,71.05,Dhaka
174,175,16,5955,137,38.92,7191,82.81,12,38,8,v Pakistan,ODI # 1273,35320,67,152.27,Dhaka
175,176,16,6050,137,39.28,7269,83.23,12,39,8,v Pakistan,ODI # 1276,35320,95,121.79,Dhaka
176,177,16,6051,137,39.03,7275,83.17,12,39,8,v Pakistan,ODI # 1277,35320,1,16.66,Dhaka
177,178,16,6092,137,39.05,7301,83.44,12,39,8,v Pakistan,ODI # 1279,35320,41,157.69,Dhaka
178,179,16,6100,137,38.85,7312,83.42,12,39,8,v Australia,ODI # 1300,35320,8,72.72,Kochi
179,180,16,6105,137,38.63,7329,83.29,12,39,8,v Zimbabwe,ODI # 1305,35320,5,29.41,Vadodara
180,181,16,6205,137,39.02,7418,83.64,13,39,8,v Australia,ODI # 1308,35320,100,112.35,Kanpur
181,182,16,6206,137,38.78,7420,83.63,13,39,8,v Zimbabwe,ODI # 1311,35320,1,50.00,Cuttack
182,183,16,6221,137,38.63,7444,83.57,13,39,8,v Australia,ODI # 1316,35320,15,62.50,Delhi
183,184,16,6261,137,38.64,7485,83.64,13,39,8,v New Zealand,ODI # 1319,35320,40,97.56,Sharjah
184,185,16,6341,137,38.90,7557,83.90,13,40,8,v Australia,ODI # 1322,35320,80,111.11,Sharjah
185,186,16,6379,137,38.89,7615,83.76,13,40,8,v New Zealand,ODI # 1323,35320,38,65.51,Sharjah
186,187,16,6522,143,39.52,7746,84.19,14,40,8,v Australia,ODI # 1325,35320,143,109.16,Sharjah
187,188,16,6656,143,40.09,7877,84.49,15,40,8,v Australia,ODI # 1327,35320,134,102.29,Sharjah
188,189,16,6689,143,40.05,7906,84.60,15,40,8,v Bangladesh,ODI # 1335,35320,33,113.79,Mumbai
189,190,16,6707,143,39.92,7931,84.56,15,40,8,v Kenya,ODI # 1336,35320,18,72.00,Gwalior
190,191,17,6807,143,40.51,8034,84.72,16,40,8,v Kenya,ODI # 1337,35320,100*,97.08,Kolkata
191,192,17,6872,143,40.66,8084,85.00,16,41,8,v Sri Lanka,ODI # 1338,35320,65,130.00,Colombo (RPS)
192,193,17,6925,143,40.73,8120,85.28,16,42,8,v New Zealand,ODI # 1340,35320,53,147.22,Colombo (RPS)
193,194,17,6942,143,40.59,8136,85.32,16,42,8,v Sri Lanka,ODI # 1341,35320,17,106.25,Colombo (SSC)
194,195,17,6942,143,40.59,8136,85.32,16,42,8,v New Zealand,ODI # 1342,35320,TDNB,-,Colombo (SSC)
195,196,17,7070,143,41.10,8267,85.52,17,42,8,v Sri Lanka,ODI # 1344,35320,128,97.70,Colombo (RPS)
196,197,17,7147,143,41.31,8376,85.32,17,43,8,v Pakistan,ODI # 1353,35320,77,70.64,Toronto
197,198,18,7274,143,42.04,8506,85.51,18,43,8,v Zimbabwe,ODI # 1354,35320,127*,97.69,Bulawayo
198,199,18,7303,143,41.97,8527,85.64,18,43,8,v Zimbabwe,ODI # 1355,35320,29,138.09,Bulawayo
199,200,18,7305,143,41.74,8533,85.60,18,43,8,v Zimbabwe,ODI # 1356,35320,2,33.33,Harare
200,201,18,7446,143,42.30,8661,85.97,19,43,8,v Australia,ODI # 1360,35320,141,110.15,Dhaka
201,202,18,7454,143,42.11,8675,85.92,19,43,8,v West Indies,ODI # 1363,35320,8,57.14,Dhaka
202,203,18,7457,143,41.89,8681,85.90,19,43,8,v Sri Lanka,ODI # 1366,35320,3,50.00,Sharjah
203,204,19,7575,143,42.55,8793,86.14,20,43,8,v Zimbabwe,ODI # 1369,35320,118*,105.35,Sharjah
204,205,19,7593,143,42.41,8821,86.07,20,43,8,v Sri Lanka,ODI # 1370,35320,18,64.28,Sharjah
205,206,19,7604,143,42.24,8833,86.08,20,43,8,v Zimbabwe,ODI # 1373,35320,11,91.66,Sharjah
206,207,20,7728,143,42.93,8925,86.58,21,43,8,v Zimbabwe,ODI # 1374,35320,124*,134.78,Sharjah
207,208,20,7728,143,42.69,8930,86.53,21,43,9,v New Zealand,ODI # 1378,35320,0,0.00,Taupo
208,209,20,7751,143,42.58,8949,86.61,21,43,9,v New Zealand,ODI # 1381,35320,23,121.05,Napier
209,210,20,7796,143,42.60,8991,86.70,21,43,9,v New Zealand,ODI # 1383,35320,45,107.14,Wellington
210,211,20,7801,143,42.39,9003,86.64,21,43,9,v New Zealand,ODI # 1385,35320,5,41.66,Auckland
211,212,20,7829,143,42.31,9049,86.51,21,43,9,v South Africa,ODI # 1444,35320,28,60.86,Hove
212,213,21,7969,143,43.07,9150,87.09,22,43,9,v Kenya,ODI # 1457,35320,140*,138.61,Bristol
213,214,21,7971,143,42.85,9153,87.08,22,43,9,v Sri Lanka,ODI # 1463,35320,2,66.66,Taunton
214,215,21,7993,143,42.74,9193,86.94,22,43,9,v England,ODI # 1467,35320,22,55.00,Birmingham
215,216,21,7993,143,42.51,9197,86.90,22,43,10,v Australia,ODI # 1473,35320,0,0.00,The Oval
216,217,21,8038,143,42.52,9262,86.78,22,43,10,v Pakistan,ODI # 1476,35320,45,69.23,Manchester
217,218,21,8054,143,42.38,9284,86.75,22,43,10,v New Zealand,ODI # 1480,35320,16,72.72,Nottingham
218,219,21,8068,143,42.24,9317,86.59,22,43,10,v Australia,ODI # 1486,35320,14,42.42,Galle
219,220,21,8105,143,42.21,9375,86.45,22,43,10,v Sri Lanka,ODI # 1487,35320,37,63.79,Colombo (RPS)
220,221,21,8225,143,42.61,9516,86.43,23,43,10,v Sri Lanka,ODI # 1490,35320,120,85.10,Colombo (SSC)
221,222,21,8310,143,42.83,9588,86.67,23,44,10,v Zimbabwe,ODI # 1493,35320,85,118.05,Singapore
222,223,21,8350,143,42.82,9653,86.50,23,44,10,v West Indies,ODI # 1495,35320,40,61.53,Singapore
223,224,21,8350,143,42.60,9659,86.44,23,44,11,v West Indies,ODI # 1496,35320,0,0.00,Singapore
224,225,21,8382,143,42.54,9690,86.50,23,44,11,v New Zealand,ODI # 1522,35320,32,103.22,Rajkot
225,226,22,8568,186*,43.49,9840,87.07,24,44,11,v New Zealand,ODI # 1523,35320,186*,124.00,Hyderabad (Deccan)
226,227,22,8569,186*,43.27,9863,86.88,24,44,11,v New Zealand,ODI # 1524,35320,1,4.34,Gwalior
227,228,22,8571,186*,43.07,9873,86.81,24,44,11,v New Zealand,ODI # 1525,35320,2,20.00,Guwahati
228,229,22,8571,186*,42.85,9876,86.78,24,44,12,v New Zealand,ODI # 1526,35320,0,0.00,Delhi
229,230,22,8584,186*,42.70,9902,86.68,24,44,12,v Pakistan,ODI # 1537,35320,13,50.00,Brisbane
230,231,22,8596,186*,42.55,9913,86.71,24,44,12,v Australia,ODI # 1539,35320,12,109.09,Melbourne
231,232,22,8597,186*,42.34,9924,86.62,24,44,12,v Australia,ODI # 1540,35320,1,9.09,Sydney
232,233,22,8690,186*,42.59,10027,86.66,24,45,12,v Pakistan,ODI # 1543,35320,93,90.29,Hobart
233,234,22,8731,186*,42.59,10073,86.67,24,45,12,v Pakistan,ODI # 1547,35320,41,89.13,Adelaide
234,235,22,8749,186*,42.47,10101,86.61,24,45,12,v Australia,ODI # 1548,35320,18,64.28,Adelaide
235,236,22,8766,186*,42.34,10115,86.66,24,45,12,v Pakistan,ODI # 1550,35320,17,121.42,Perth
236,237,22,8769,186*,42.15,10136,86.51,24,45,12,v Australia,ODI # 1552,35320,3,14.28,Perth
237,238,22,8795,186*,42.08,10161,86.55,24,45,12,v South Africa,ODI # 1572,35320,26,104.00,Kochi
238,239,22,8816,186*,41.98,10192,86.49,24,45,12,v South Africa,ODI # 1573,35320,21,67.74,Jamshedpur
239,240,22,8828,186*,41.83,10220,86.37,24,45,12,v South Africa,ODI # 1574,35320,12,42.85,Faridabad
